Top,2018,Nominal,1.0,300,400,1.1163204630587051,0.08589322774156138,0.1145103421879804

Top,2018,Nominal,1.0,400,480,0.9878718467695988,0.03394913833483326,0.03536992757274554

Top,2018,Nominal,1.0,480,600,0.988999891725833,0.03135142808228031,0.03254552277081374

Top,2018,Nominal,1.0,600,1200,0.9805739808831712,0.05931408212949585,0.051187894522590094

Top,2018,Nominal,0.5,300,400,1.1920909462006473,0.11764549348223086,0.11908708002963475

Top,2018,Nominal,0.5,400,480,0.9774648125322577,0.035550840455008226,0.0398907134046641

Top,2018,Nominal,0.5,480,600,0.9610178961036971,0.031596130357776864,0.03270118031346542

Top,2018,Nominal,0.5,600,1200,0.9719547878688892,0.04718604414578065,0.04838027950930873

Top,2018,Nominal,0.1,300,400,1.0334005773459902,0.07650971737263357,0.09380051325239541

Top,2018,Nominal,0.1,400,480,0.949257944706414,0.045225626829771715,0.046893611197207585

Top,2018,Nominal,0.1,480,600,0.9107008737018066,0.032422008884733344,0.03424149006948135

Top,2018,Nominal,0.1,600,1200,0.9527002945910971,0.05328536808253126,0.06053691794789251


Top,2017,Nominal,1.0,300,400,1.2665423171877026,0.12594170644336278,0.13075885577178425

Top,2017,Nominal,1.0,400,480,1.01651719047938,0.04200062224205936,0.03718799071755147

Top,2017,Nominal,1.0,480,600,1.0563219429599855,0.04406769273143074,0.12450427752619087

Top,2017,Nominal,1.0,600,1200,1.004343034237564,0.05644574156991433,0.06164302682382439

Top,2017,Nominal,0.5,300,400,1.1062034119256086,0.07529397680618755,0.08045105877312297

Top,2017,Nominal,0.5,400,480,1.0066113887295043,0.0369232520042021,0.03919635614723771

Top,2017,Nominal,0.5,480,600,1.049061790460786,0.04147167493389903,0.04338946817230571

Top,2017,Nominal,0.5,600,1200,0.9973377822040789,0.050104016301182774,0.05405382873318071

Top,2017,Nominal,0.1,300,400,1.1196092503548305,0.09802412387572934,0.11200766928244099

Top,2017,Nominal,0.1,400,480,0.9580004039531106,0.03816914560278717,0.04072105441844143

Top,2017,Nominal,0.1,480,600,1.0045270269743276,0.04642644457267664,0.04962975757396476

Top,2017,Nominal,0.1,600,1200,0.9323482894176377,0.05638889259445923,0.051473939960285375


Top,2016-RunFGH,Nominal,1.0,300,400,1.0286204672478074,0.07738336621550035,0.0837428626798436

Top,2016-RunFGH,Nominal,1.0,400,480,0.9861968638399904,0.046,0.05284760599583793

Top,2016-RunFGH,Nominal,1.0,480,600,1.1295417328901183,0.14011597977479784,0.17885647825191325

Top,2016-RunFGH,Nominal,1.0,600,1200,1.3035872134528272,0.2775637935767241,0.31002043724845657

Top,2016-RunFGH,Nominal,0.5,300,400,1.0712531531907075,0.09389896914842288,0.10059110760657686

Top,2016-RunFGH,Nominal,0.5,400,480,0.9672581863799624,0.04762944565463889,0.05182789160227019

Top,2016-RunFGH,Nominal,0.5,480,600,1.0340496715510143,0.0406073589552004,0.05083348138255023

Top,2016-RunFGH,Nominal,0.5,600,1200,1.3396199462217941,0.2711476744604726,0.23822635606740838

Top,2016-RunFGH,Nominal,0.1,300,400,0.9693713610029029,0.08151633318067164,0.08689368400132591

Top,2016-RunFGH,Nominal,0.1,400,480,0.896687995785267,0.04715255343674973,0.04840402903850832

Top,2016-RunFGH,Nominal,0.1,480,600,0.9968234331208976,0.05852845489084546,0.05677047796763779

Top,2016-RunFGH,Nominal,0.1,600,1200,1.0103636762075094,0.08543865285456187,0.09037365986555956


Top,2016-RunBCDEF,Nominal,1.0,300,400,1.2529632568286877,0.1401589562980461,0.14893548637024145

Top,2016-RunBCDEF,Nominal,1.0,400,480,1.140886941405853,0.11013160312991532,0.1453378248525864

Top,2016-RunBCDEF,Nominal,1.0,480,600,1.2321784406468166,0.16845345175872173,0.17834081774322008

Top,2016-RunBCDEF,Nominal,1.0,600,1200,1.3823424969039724,0.3203322566182154,0.35739488023541155

Top,2016-RunBCDEF,Nominal,0.5,300,400,1.2309559151349918,0.14489036980725922,0.13490834643442517

Top,2016-RunBCDEF,Nominal,0.5,400,480,1.0738515100011004,0.04694235506050637,0.1291071030184015

Top,2016-RunBCDEF,Nominal,0.5,480,600,1.057574178518796,0.05238859810504026,0.05645882027015936

Top,2016-RunBCDEF,Nominal,0.5,600,1200,1.0994421241009649,0.0981719413385509,0.28653083056383055

Top,2016-RunBCDEF,Nominal,0.1,300,400,1.0952484275692702,0.07172482413510917,0.07631575391928647

Top,2016-RunBCDEF,Nominal,0.1,400,480,1.0567220114984588,0.05890151615878081,0.06400976396644487

Top,2016-RunBCDEF,Nominal,0.1,480,600,1.0423524947175915,0.05886351490829689,0.06347414682865082

Top,2016-RunBCDEF,Nominal,0.1,600,1200,0.9978899695223552,0.0906911555419252,0.10535484120276511


